Dia de Din Instante;Mês de Din Instante;Val Geraenergiaconmwmed
23;março de 2019;10,33033333
24;março de 2019;4,38741666
25;março de 2019;8,01391666
26;março de 2019;4,31854166
27;março de 2019;10,11691666
28;março de 2019;11,27995833
29;março de 2019;11,41766666
30;março de 2019;13,28279166
31;março de 2019;13,083875
1;fevereiro de 2019;12,532375
2;fevereiro de 2019;15,356625
3;fevereiro de 2019;8,08225
4;fevereiro de 2019;14,92933333
5;fevereiro de 2019;9,450125
6;fevereiro de 2019;6,66541666
7;fevereiro de 2019;8,661
8;fevereiro de 2019;9,98304166
9;fevereiro de 2019;8,013625
10;fevereiro de 2019;10,94383333
11;fevereiro de 2019;15,42358333
12;fevereiro de 2019;14,48783333
13;fevereiro de 2019;15,06845833
14;fevereiro de 2019;14,273125
15;fevereiro de 2019;9,22191666
16;fevereiro de 2019;10,68295833
17;fevereiro de 2019;8,06504166
18;fevereiro de 2019;6,83083333
19;fevereiro de 2019;13,69154166
20;fevereiro de 2019;14,199875
21;fevereiro de 2019;13,61233333
22;fevereiro de 2019;13,33091666
23;fevereiro de 2019;7,15870833
24;fevereiro de 2019;14,39020833
25;fevereiro de 2019;13,54208333
26;fevereiro de 2019;11,47525
27;fevereiro de 2019;9,466625
28;fevereiro de 2019;12,35729166
1;janeiro de 2019;13,46120833
2;janeiro de 2019;13,33691666
3;janeiro de 2019;16,09379166
4;janeiro de 2019;13,13425
5;janeiro de 2019;9,756
6;janeiro de 2019;11,08079166
7;janeiro de 2019;10,37833333
8;janeiro de 2019;12,718875
9;janeiro de 2019;12,73558333
10;janeiro de 2019;11,20320833
11;janeiro de 2019;14,309
12;janeiro de 2019;9,57520833
13;janeiro de 2019;10,80204166
14;janeiro de 2019;11,501875
15;janeiro de 2019;10,723875
16;janeiro de 2019;12,339375
17;janeiro de 2019;14,28258333
18;janeiro de 2019;16,16425
19;janeiro de 2019;14,13454166
20;janeiro de 2019;12,376125
21;janeiro de 2019;14,37858333
22;janeiro de 2019;12,83141666
23;janeiro de 2019;13,967
24;janeiro de 2019;10,35020833
25;janeiro de 2019;12,53366666
26;janeiro de 2019;9,42633333
27;janeiro de 2019;11,54679166
28;janeiro de 2019;13,455
29;janeiro de 2019;15,80195833
30;janeiro de 2019;15,8755
31;janeiro de 2019;14,31683333
1;dezembro de 2018;5,28258333
2;dezembro de 2018;8,47466666
3;dezembro de 2018;5,89816666
4;dezembro de 2018;5,96216666
5;dezembro de 2018;4,24191666
6;dezembro de 2018;7,79608333
7;dezembro de 2018;14,62520833
8;dezembro de 2018;10,67179166
9;dezembro de 2018;3,70979166
10;dezembro de 2018;6,07066666
11;dezembro de 2018;8,10925
12;dezembro de 2018;11,67979166
13;dezembro de 2018;14,04879166
14;dezembro de 2018;16,77075
15;dezembro de 2018;15,23875
16;dezembro de 2018;13,46691666
17;dezembro de 2018;13,74341666
18;dezembro de 2018;16,938875
19;dezembro de 2018;16,84375
20;dezembro de 2018;16,94316666
21;dezembro de 2018;15,98925
