Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82691;16/02/2018;0000;;29.9;;;0.6;25.72;80;2;
82691;16/02/2018;1200;14;;22.6;;;;;;
82691;17/02/2018;0000;;28.9;;;1.2;24.58;88;2;
82691;17/02/2018;1200;0;;23;;;;;;
82691;18/02/2018;0000;;31.9;;;0.5;25.44;86;3;
82691;18/02/2018;1200;5;;22.6;;;;;;
82691;19/02/2018;0000;;33.3;;;0.5;27.38;75;2;
82691;19/02/2018;1200;18.7;;22.2;;;;;;
82691;20/02/2018;0000;;32.9;;;3.9;26.46;80;3;
82691;20/02/2018;1200;0;;22.6;;;;;;
82691;21/02/2018;0000;;32.5;;;3.8;26.38;80;2;
82691;21/02/2018;1200;0;;22;;;;;;
82691;22/02/2018;0000;;32.3;;;4.7;25.7;80;3;
82691;22/02/2018;1200;0;;22.6;;;;;;
82691;23/02/2018;0000;;30.9;;;0.7;25.62;86;3;
82691;23/02/2018;1200;0;;22.2;;;;;;
82691;24/02/2018;0000;;33;;;1.6;27.3;79;3;
82691;24/02/2018;1200;3.4;;23.2;;;;;;
82691;25/02/2018;0000;;33.1;;;3.2;26.78;79;4;
82691;25/02/2018;1200;0;;23.2;;;;;;
82691;26/02/2018;0000;;33.1;;;3.2;26.74;80;3;
82691;26/02/2018;1200;0;;22.4;;;;;;
82691;27/02/2018;0000;;34.1;;;3.6;27.42;74;3;
82691;27/02/2018;1200;0;;21.8;;;;;;
82691;28/02/2018;0000;;32.3;;;4.8;25.88;87;3;
82691;28/02/2018;1200;0;;22.4;;;;;;
82691;01/03/2018;0000;;30.1;;;1.6;25.22;82;2;
82691;01/03/2018;1200;26;;22.6;;;;;;
82691;02/03/2018;0000;;29.9;;;1;24.98;90;3;
82691;02/03/2018;1200;2;;21.6;;;;;;
82691;03/03/2018;0000;;31.3;;;0.8;25.76;82;2;
82691;03/03/2018;1200;21.4;;22.2;;;;;;
82691;04/03/2018;0000;;33.1;;;1.7;26.98;77;3;
82691;04/03/2018;1200;0;;21.8;;;;;;
