Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82689;11/06/2018;1200;0;;22.6;;;;;;
82689;12/06/2018;0000;;32.6;;9.9;4.5;25.1;63.5;3.4;
82689;12/06/2018;1200;0;;17.5;;;;;;
82689;13/06/2018;0000;;32.5;;10.4;6;26.94;61.25;4.466667;
82689;13/06/2018;1200;0;;22.6;;;;;;
82689;14/06/2018;0000;;31.6;;9.7;6.3;24.46;77.75;2.566667;
82689;14/06/2018;1200;0;;20.4;;;;;;
82689;15/06/2018;0000;;33.8;;9.7;4;27.16;64.75;1.666667;
82689;15/06/2018;1200;0;;18.3;;;;;;
82689;16/06/2018;0000;;32.6;;7.3;5.2;26.42;71;2.633333;
82689;16/06/2018;1200;0;;20.9;;;;;;
82689;17/06/2018;0000;;32.6;;4.3;4.7;26.8;68.5;2.433333;
82689;17/06/2018;1200;0;;21.4;;;;;;
82689;18/06/2018;0000;;33.2;;10.2;4.4;25.58;76.5;2.533333;
82689;18/06/2018;1200;0;;21.6;;;;;;
82689;19/06/2018;0000;;32.4;;10;4;26.52;74;2.4;
82689;19/06/2018;1200;0;;20;;;;;;
82689;20/06/2018;0000;;32.8;;9.9;5.7;26.52;70;2.766667;
82689;20/06/2018;1200;0;;24.2;;;;;;
82689;21/06/2018;0000;;33.4;;10.4;6;24.44;73.25;1.333333;
82689;21/06/2018;1200;0;;17.8;;;;;;
82689;22/06/2018;0000;;33.9;;10.2;4.8;25.34;69.75;2.6;
82689;22/06/2018;1200;0;;18.4;;;;;;
82689;23/06/2018;0000;;33.2;;10.3;6.5;26.76;53.75;3.433333;
82689;23/06/2018;1200;0;;18.2;;;;;;
82689;24/06/2018;0000;;30.8;;3.5;8.2;25.76;66;3.033333;
82689;24/06/2018;1200;0;;20.6;;;;;;
82689;25/06/2018;0000;;32.7;;7.4;5.3;23.94;75.25;2.866667;
82689;25/06/2018;1200;0;;17.5;;;;;;
82689;26/06/2018;0000;;33.6;;9.8;4.5;24.08;70.5;1.866667;
82689;26/06/2018;1200;0;;16;;;;;;
82689;27/06/2018;0000;;34.4;;10.5;4.7;27.84;58;2.6;
82689;27/06/2018;1200;0;;20.5;;;;;;
82689;28/06/2018;0000;;33.7;;10.5;7.3;27.98;54.25;2.366667;
82689;28/06/2018;1200;0;;22.8;;;;;;
82689;29/06/2018;0000;;32.4;;8.9;7.4;25.66;60;4.966667;
82689;29/06/2018;1200;0;;18.9;;;;;;
82689;30/06/2018;0000;;34.2;;10.6;6.7;24.96;63;2.466667;
82689;30/06/2018;1200;0;;20;;;;;;
82689;01/07/2018;0000;;34.9;;10.5;5.7;25.48;67;1.6;
82689;01/07/2018;1200;0;;16.3;;;;;;
82689;02/07/2018;0000;;35.2;;9.7;5;28.32;69;1.7;
82689;02/07/2018;1200;0;;22.2;;;;;;
82689;03/07/2018;0000;;33.8;;9.2;5.1;27.02;71;2.633333;
82689;03/07/2018;1200;0;;23.2;;;;;;
82689;04/07/2018;0000;;34.2;;10.6;5.4;26.42;64.5;2.5;
82689;04/07/2018;1200;0;;20.3;;;;;;
82689;05/07/2018;0000;;35.2;;10.6;6.8;26.2;68;2.033333;
82689;05/07/2018;1200;0;;21.6;;;;;;
82689;06/07/2018;0000;;33.1;;7.7;6.3;26.2;73.5;2.066667;
82689;06/07/2018;1200;0;;19.3;;;;;;
82689;07/07/2018;0000;;30.9;;3.7;5.1;25.86;79;2.8;
82689;07/07/2018;1200;0;;23.8;;;;;;
82689;08/07/2018;0000;;33.6;;10.6;5.1;26.48;68.25;2.066667;
82689;08/07/2018;1200;0;;21;;;;;;
82689;09/07/2018;0000;;34.6;;10.5;6.6;26.04;70.5;2.633333;
82689;09/07/2018;1200;0;;22.5;;;;;;
82689;10/07/2018;0000;;30;;0.5;6.1;25.22;75.5;1.633333;
82689;10/07/2018;1200;0;;22.8;;;;;;
